                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.26043,                0.13158,                0.25227,                0.81015,                0.99961,                      1,                  0.995,                0.98025,                0.99961,                      1,                  0.995,                0.96903,                0.20945,                0.12873,                0.19622,                0.80372,               0.005248,               0.005248,               0.005248
                     26,                0.25928,                0.12738,                0.25024,                0.81225,                0.99952,                      1,                  0.995,                 0.9868,                0.99952,                      1,                  0.995,                0.98005,                0.19813,                0.12249,                0.18695,                0.79416,                0.00505,                0.00505,                0.00505
                     27,                0.25552,                0.13273,                0.24763,                 0.8112,                0.99903,                      1,                  0.995,                0.98187,                0.99903,                      1,                  0.995,                0.97278,                0.19423,                0.12646,                0.18215,                0.80903,               0.004852,               0.004852,               0.004852
                     28,                0.24626,                0.13033,                0.23513,                0.80606,                0.99936,                      1,                  0.995,                0.98343,                0.99936,                      1,                  0.995,                0.97642,                0.18413,                0.13113,                0.17503,                0.79915,               0.004654,               0.004654,               0.004654
                     29,                0.23721,                0.12931,                0.23192,                0.80235,                0.99882,                      1,                  0.995,                0.99342,                0.99882,                      1,                  0.995,                 0.9819,                0.15483,                0.11287,                0.17217,                0.77582,               0.004456,               0.004456,               0.004456
                     30,                0.23555,                0.12805,                0.22357,                0.80787,                0.99904,                      1,                  0.995,                 0.9911,                0.99904,                      1,                  0.995,                0.98367,                0.16405,                0.12131,                0.16098,                 0.7898,               0.004258,               0.004258,               0.004258
                     31,                0.22918,                0.13131,                0.22739,                0.80117,                0.99846,                      1,                  0.995,                0.98747,                0.99846,                      1,                  0.995,                0.97619,                0.19473,                0.12872,                0.18224,                0.79632,                0.00406,                0.00406,                0.00406
                     32,                0.22741,                0.12631,                 0.2193,                0.80774,                0.99922,                      1,                  0.995,                0.98857,                0.99922,                      1,                  0.995,                0.97643,                0.16431,                0.13986,                 0.1602,                0.79777,               0.003862,               0.003862,               0.003862
                     33,                0.22388,                0.12147,                0.22017,                0.80136,                0.99095,                      1,                  0.995,                 0.9897,                0.99095,                      1,                  0.995,                0.98093,                0.16765,                 0.1193,                0.15594,                0.79699,               0.003664,               0.003664,               0.003664
                     34,                0.21141,                0.12759,                0.21115,                0.79823,                0.99954,                      1,                  0.995,                0.98958,                0.99954,                      1,                  0.995,                0.98515,                0.16206,                0.12493,                0.15099,                 0.7973,               0.003466,               0.003466,               0.003466
                     35,                0.20375,                 0.1206,                0.20571,                0.79988,                 0.9995,                      1,                  0.995,                0.99271,                 0.9995,                      1,                  0.995,                0.98723,                0.14967,                0.12776,                0.14944,                0.78645,               0.003268,               0.003268,               0.003268
                     36,                0.20564,                0.12303,                0.20643,                0.79986,                0.99939,                      1,                  0.995,                 0.9942,                0.99939,                      1,                  0.995,                 0.9842,                0.13208,                0.12152,                0.14909,                0.77459,                0.00307,                0.00307,                0.00307
                     37,                0.19483,                0.11735,                  0.194,                0.79366,                0.99953,                      1,                  0.995,                0.99382,                0.99953,                      1,                  0.995,                0.98519,                0.14227,                0.12977,                0.13918,                0.77901,               0.002872,               0.002872,               0.002872
                     38,                0.19112,                0.11922,                0.19109,                0.79364,                0.99955,                      1,                  0.995,                0.99123,                0.99955,                      1,                  0.995,                0.98201,                0.13688,                0.12409,                0.14318,                0.77762,               0.002674,               0.002674,               0.002674
                     39,                0.18011,                0.11115,                0.18156,                0.79133,                0.99955,                      1,                  0.995,                 0.9869,                0.99955,                      1,                  0.995,                0.98145,                0.14846,                0.11785,                0.13533,                0.80007,               0.002476,               0.002476,               0.002476
                     40,                0.17646,                0.11506,                0.18035,                0.78396,                0.99957,                      1,                  0.995,                0.98884,                0.99957,                      1,                  0.995,                0.98318,                 0.1339,                0.11376,                0.13202,                0.79146,               0.002278,               0.002278,               0.002278
                     41,                0.17803,                0.10867,                0.17581,                0.79645,                0.99955,                      1,                  0.995,                0.99095,                0.99955,                      1,                  0.995,                0.98441,                0.13999,                0.11436,                0.13242,                0.78392,                0.00208,                0.00208,                0.00208
                     42,                0.17078,                0.11985,                0.17421,                0.79172,                0.99964,                      1,                  0.995,                0.99141,                0.99964,                      1,                  0.995,                 0.9843,                0.14169,                0.11107,                0.13047,                0.78609,               0.001882,               0.001882,               0.001882
                     43,                0.17126,                 0.1139,                0.17082,                0.79766,                0.99956,                      1,                  0.995,                0.99107,                0.99956,                      1,                  0.995,                0.98295,                0.12202,                0.11346,                0.11985,                0.77995,               0.001684,               0.001684,               0.001684
                     44,                0.16506,                0.11027,                0.16858,                0.79405,                0.99949,                      1,                  0.995,                  0.989,                0.99949,                      1,                  0.995,                0.98217,                0.11986,                0.11132,                0.13701,                0.77482,               0.001486,               0.001486,               0.001486
                     45,                0.16481,                0.11688,                 0.1652,                0.79364,                0.99955,                      1,                  0.995,                0.99087,                0.99955,                      1,                  0.995,                0.98201,                0.10359,                0.11351,                0.11781,                0.76565,               0.001288,               0.001288,               0.001288
                     46,                0.15927,                0.11068,                0.16058,                0.78723,                0.99955,                      1,                  0.995,                0.98952,                0.99955,                      1,                  0.995,                0.98384,                 0.1129,                0.11128,                 0.1191,                 0.7756,                0.00109,                0.00109,                0.00109
                     47,                 0.1544,                0.11423,                0.15358,                0.79177,                0.99955,                      1,                  0.995,                0.99136,                0.99955,                      1,                  0.995,                0.98345,                0.11962,                0.11243,                  0.122,                0.78226,               0.000892,               0.000892,               0.000892
                     48,                0.15521,                0.11229,                0.15222,                0.78793,                0.99955,                      1,                  0.995,                0.99304,                0.99955,                      1,                  0.995,                0.98519,                0.11064,                0.11228,                0.10872,                0.78069,               0.000694,               0.000694,               0.000694
                     49,                0.14889,                0.10853,                0.14922,                0.79064,                0.99956,                      1,                  0.995,                0.99129,                0.99956,                      1,                  0.995,                 0.9835,                0.11488,                0.11552,                0.10797,                0.78547,               0.000496,               0.000496,               0.000496
